Wayne's World 2,(1993),PG-13,95 min,$47.97M,Stephen Surjik,Mike Myers,Dana Carvey,Christopher Walken,Tia Carrere
Malice,(1993),R,107 min,$46.04M,Harold Becker,Alec Baldwin,Nicole Kidman,Bill Pullman,Bebe Neuwirth
Made in America,(1993),PG-13,111 min,$44.94M,Richard Benjamin,Whoopi Goldberg,Ted Danson,Will Smith,Nia Long
The Good Son,(1993),R,87 min,$44.59M,Joseph Ruben,Macaulay Culkin,Elijah Wood,Wendy Crewson,David Morse
The Beverly Hillbillies,(1993),PG,92 min,$44.03M,Penelope Spheeris,Diedrich Bader,Erika Eleniak,Jim Varney,Cloris Leachman
Teenage Mutant Ninja Turtles III,(1993),PG,96 min,$42.66M,Stuart Gillard,Elias Koteas,Paige Turco,Stuart Wilson,Sab Shimono
Homeward Bound: The Incredible Journey,(1993),G,84 min,$41.83M,Duwayne Dunham,Michael J. Fox,Sally Field,Don Alder,Ed Bernard
Falling Down,(1993),R,113 min,$40.90M,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin
The Piano,(1993),R,121 min,$40.16M,Jane Campion,Holly Hunter,Harvey Keitel,Sam Neill,Anna Paquin
Hocus Pocus,(1993),PG,96 min,$39.51M,Kenny Ortega,Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz
What's Love Got to Do with It,(1993),R,118 min,$39.10M,Brian Gibson,Angela Bassett,Laurence Fishburne,RaéVen Kelly,Virginia Capers
Hot Shots! Part Deux,(1993),PG-13,86 min,$38.91M,Jim Abrahams,Charlie Sheen,Lloyd Bridges,Valeria Golino,Richard Crenna
Carlito's Way,(1993),R,144 min,$36.95M,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo
Alive,(1993),R,120 min,$36.73M,Frank Marshall,Ethan Hawke,Vincent Spano,Josh Hamilton,Bruce Ramsay
Son in Law,(1993),PG-13,95 min,$36.45M,Steve Rash,Pauly Shore,Carla Gugino,Lane Smith,Cindy Pickett
Sliver,(1993),R,107 min,$36.30M,Phillip Noyce,Sharon Stone,William Baldwin,Tom Berenger,Polly Walker
Robin Hood: Men in Tights,(1993),PG-13,104 min,$35.70M,Mel Brooks,Cary Elwes,Richard Lewis,Roger Rees,Amy Yasbeck
Dragon: The Bruce Lee Story,(1993),PG-13,120 min,$35.11M,Rob Cohen,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned
The Joy Luck Club,(1993),R,139 min,$32.86M,Wayne Wang,Tamlyn Tomita,Rosalind Chao,Kieu Chinh,Tsai Chin
Hard Target,(1993),R,97 min,$32.53M,John Woo,Jean-Claude Van Damme,Lance Henriksen,Yancy Butler,Chuck Pfarrer
The Sandlot,(1993),PG,101 min,$32.42M,David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna
The Age of Innocence,(1993),PG,139 min,$32.00M,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Linda Faye Farkas
The Lion King,(1994),G,88 min,$422.78M,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg
Forrest Gump,(1994),PG-13,142 min,$329.69M,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
True Lies,(1994),R,141 min,$146.28M,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton
The Santa Clause,(1994),PG,97 min,$144.83M,John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd
